Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,1.5291,1.0643,1.1205,1.3219
Deepseek-R1,1.9224,1.7088,1.8726,1.6858
DeepSeek-V3,1.2775,1.2769,1.6804,1.6675
gemini-2.0-flash-thinking-exp-01-21,1.1275,1.0838,1.0785,1.3346
gpt-4.1,1.2176,1.0357,1.0863,1.2871
gpt-4o,1.2009,0.9638,0.9838,1.4674
llama-4-maverick,1.3222,1.1429,1.1658,1.4816
o3-mini-medium,2.0604,1.6424,1.5522,0.9928
o4-mini-medium,1.6844,1.1800,2.3821,0.9623
qwen3-235b-a22b,1.4335,1.2869,1.2059,1.2135
Qwen3-235B-A22B_thinking,1.8242,1.5447,1.7589,1.5612
qwen3-30b-a3b,1.3384,1.2192,1.2353,1.4040
Qwen3-30B-A3B_thinking,1.4523,1.3753,1.4581,1.5555
Qwen3-8B,1.3171,1.1250,0.9639,1.3869
Qwen3-8B_thinking,1.5164,1.2934,1.5708,1.5680
