Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,1.3661,1.0786,2.5804,1.1507,0.8284,1.8504,1.2714,1.0166,1.0387,1.3583,1.2598,1.3262
Deepseek-R1,1.9406,0.7935,4.0862,1.5755,0.8459,3.6445,1.6688,0.0000,1.9320,2.1432,1.1197,2.0473
DeepSeek-V3,1.3068,1.0080,2.8416,1.2226,1.1737,2.6556,1.6038,1.7440,1.4872,1.7960,1.5528,1.6382
gemini-2.0-flash-thinking-exp-01-21,1.2438,1.0301,1.6439,1.1999,0.9895,1.7523,0.8420,1.1468,1.4769,1.2270,1.1816,1.8727
gpt-4.1,1.2652,0.8560,2.3428,1.0567,0.9014,1.8561,1.0965,1.1172,0.9508,1.0238,1.1247,1.7373
gpt-4o,1.1195,0.9676,1.4772,0.9003,0.8435,1.4852,0.8777,0.9784,1.1193,0.8478,1.4130,1.5855
llama-4-maverick,1.1538,0.9807,1.8016,1.1797,0.9092,1.9447,1.1988,1.2067,1.0947,1.3081,1.1688,1.7149
o3-mini-medium,1.8417,0.7038,6.2406,1.6837,0.9546,7.7596,2.2266,1.3200,2.0904,1.5941,0.7655,2.3038
o4-mini-medium,3.9323,1.1519,4.9778,1.5807,0.5844,4.9246,0.9350,4.7668,0.9399,0.8127,0.9839,1.0403
qwen3-235b-a22b,1.4643,1.2154,2.4391,1.3511,1.1399,2.0222,1.0887,1.3787,1.0214,1.0984,1.0282,1.4892
Qwen3-235B-A22B_thinking,1.7071,0.9948,2.8114,1.6524,0.9362,3.1256,2.0046,1.1626,2.3319,1.4696,1.6923,1.5681
qwen3-30b-a3b,1.4458,1.0249,2.4883,1.4066,1.0525,1.9422,1.0605,1.5344,0.7931,1.3865,1.4124,1.4201
Qwen3-30B-A3B_thinking,1.5134,0.9094,2.9387,1.3941,0.7745,2.9678,1.7078,0.9741,1.8768,1.5163,1.8232,1.3659
Qwen3-8B,1.4235,1.1536,2.7845,1.2676,1.0206,1.9416,0.7941,1.0417,0.0000,1.2099,1.4646,1.7823
Qwen3-8B_thinking,1.6977,0.7777,3.3645,1.6410,0.7349,2.7463,1.4764,2.1833,1.4826,1.4669,1.4284,1.8946
