Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1.2600,0.9172,1.6557
Deepseek-R1,1.8288,0.8752,3.2768
DeepSeek-V3,1.3287,1.1873,2.1505
gemini-2.0-flash-thinking-exp-01-21,1.1371,1.0430,1.6813
gpt-4.1,1.1282,0.9360,1.8088
gpt-4o,0.9596,0.9080,1.4656
llama-4-maverick,1.1888,0.9819,1.6362
o3-mini-medium,1.7680,0.9560,6.5307
o4-mini-medium,1.9887,0.9579,4.0862
qwen3-235b-a22b,1.3378,1.1817,1.8991
Qwen3-235B-A22B_thinking,1.6633,1.0027,2.7170
qwen3-30b-a3b,1.3568,1.0896,2.0086
Qwen3-30B-A3B_thinking,1.4726,0.9026,2.6111
Qwen3-8B,1.2420,1.0775,2.2615
Qwen3-8B_thinking,1.6408,0.8043,2.8510
