Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,1.2031,1.0122,2.4013,1.0826,0.9403,1.8737,1.0457,1.1151,0.9888,1.1447,1.0401,1.2875
Deepseek-R1,1.4094,0.9594,2.9935,1.4226,0.9563,3.4789,1.1744,1.2748,1.6656,1.5163,1.2127,1.7934
DeepSeek-V3,1.2536,1.0205,2.1938,1.1963,1.0231,1.9029,1.0605,1.4942,1.1719,1.1788,1.1580,1.5891
gemini-2.0-flash-thinking-exp-01-21,1.0921,1.0016,1.4335,1.1830,0.9987,1.6534,0.9767,1.0830,1.4299,1.0768,1.1648,1.4417
gpt-4.1,1.0771,0.9167,1.9899,1.0081,0.9166,1.7284,1.0201,1.1215,0.8410,0.9843,1.0110,1.1538
gpt-4o,0.9741,0.9735,1.1734,1.1823,0.9450,1.2490,0.9972,1.0318,0.8385,0.9857,0.9848,1.2806
llama-4-maverick,1.1616,0.9836,1.5511,1.1760,0.9424,1.7283,1.1405,1.1928,0.9762,1.0223,1.0126,1.3756
o3-mini-medium,1.5228,0.9752,5.0223,1.6078,1.0217,6.4160,1.5881,1.3328,1.9895,1.0754,0.9963,1.5811
o4-mini-medium,1.2610,0.9605,3.3140,1.4629,1.0365,3.8889,1.1861,1.2158,1.3022,1.0668,1.0959,1.3440
qwen3-235b-a22b,1.1590,1.0321,1.7005,1.1894,1.0858,1.6290,0.9418,1.1287,0.9135,1.0026,1.0001,1.2520
Qwen3-235B-A22B_thinking,1.2459,0.9866,2.4479,1.2860,1.0000,2.8539,1.3238,1.2630,2.0844,1.1688,1.1185,1.4180
qwen3-30b-a3b,1.2129,0.9032,1.8037,1.2160,0.9444,1.6376,1.1304,1.5190,0.8917,1.0132,1.0488,1.1657
Qwen3-30B-A3B_thinking,1.2656,0.9124,2.6536,1.2349,1.0033,2.8835,1.3962,1.2559,1.6679,1.1974,1.2087,1.2581
Qwen3-8B,1.0979,0.9443,1.6426,1.1353,1.0019,1.4289,1.0778,1.1990,0.9563,1.1260,0.9549,1.2410
Qwen3-8B_thinking,1.2023,0.9390,2.7734,1.2887,0.8953,2.5894,1.3361,1.3082,1.8535,1.1453,1.1329,1.4329
