Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1.1175,1.0152,1.6158
Deepseek-R1,1.3683,1.0473,2.7081
DeepSeek-V3,1.1840,1.1189,1.7469
gemini-2.0-flash-thinking-exp-01-21,1.0780,1.0337,1.4913
gpt-4.1,1.0284,0.9750,1.3886
gpt-4o,1.0445,0.9828,1.1199
llama-4-maverick,1.1375,1.0253,1.3987
o3-mini-medium,1.5265,1.0602,3.8995
o4-mini-medium,1.2758,1.0568,2.3594
qwen3-235b-a22b,1.0801,1.0666,1.3598
Qwen3-235B-A22B_thinking,1.2677,1.0669,2.3728
qwen3-30b-a3b,1.1548,1.0520,1.3540
Qwen3-30B-A3B_thinking,1.2827,1.0403,2.3193
Qwen3-8B,1.1075,1.0259,1.3185
Qwen3-8B_thinking,1.2578,1.0137,2.3754
