Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,0.2650,0.2050,0.6175
Deepseek-R1,0.1350,0.0700,0.3825
DeepSeek-V3,0.4450,0.2875,0.4825
gemini-2.0-flash-thinking-exp-01-21,0.4175,0.2600,0.4700
gpt-4.1,0.2450,0.1725,0.4275
gpt-4o,0.1075,0.0525,0.1700
llama-4-maverick,0.1950,0.1450,0.4775
o3-mini-medium,0.1500,0.0825,0.2000
o4-mini-medium,0.0200,0.0350,0.0650
qwen3-235b-a22b,0.2325,0.1950,0.3125
Qwen3-235B-A22B_thinking,0.2775,0.1400,0.6425
qwen3-30b-a3b,0.2625,0.1725,0.3100
Qwen3-30B-A3B_thinking,0.2475,0.1475,0.5775
Qwen3-8B,0.2425,0.2000,0.1750
Qwen3-8B_thinking,0.2250,0.1350,0.4450
