Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,0.2667,0.2267,0.6533
Deepseek-R1,0.1733,0.0933,0.4567
DeepSeek-V3,0.5433,0.3267,0.5767
gemini-2.0-flash-thinking-exp-01-21,0.4467,0.2800,0.5033
gpt-4.1,0.2400,0.1867,0.4600
gpt-4o,0.1333,0.0667,0.2067
llama-4-maverick,0.2067,0.1600,0.4833
o3-mini-medium,0.1800,0.0833,0.2467
o4-mini-medium,0.0200,0.0433,0.0767
qwen3-235b-a22b,0.2633,0.2333,0.3600
Qwen3-235B-A22B_thinking,0.3567,0.1733,0.7133
qwen3-30b-a3b,0.2700,0.1967,0.4067
Qwen3-30B-A3B_thinking,0.3067,0.1900,0.6767
Qwen3-8B,0.2667,0.2233,0.2333
Qwen3-8B_thinking,0.2733,0.1767,0.5633
