Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,31,10,49,34,45,77,26,14,51,15,13,70
Deepseek-R1,20,8,38,14,9,43,2,0,16,18,11,56
DeepSeek-V3,64,36,56,74,43,47,15,17,20,25,19,70
gemini-2.0-flash-thinking-exp-01-21,61,35,58,57,36,65,33,20,37,16,13,28
gpt-4.1,30,19,64,40,28,62,26,13,33,2,9,12
gpt-4o,14,4,24,25,13,24,3,1,6,1,3,14
llama-4-maverick,22,8,54,28,32,44,16,10,46,12,8,47
o3-mini-medium,22,7,32,31,13,40,6,8,6,1,5,2
o4-mini-medium,2,5,8,3,4,14,2,1,3,1,4,1
qwen3-235b-a22b,33,25,41,41,36,44,14,8,17,5,9,23
Qwen3-235B-A22B_thinking,43,15,81,36,24,72,4,4,43,28,13,61
qwen3-30b-a3b,36,21,45,34,32,55,24,10,2,11,6,22
Qwen3-30B-A3B_thinking,36,21,69,35,18,73,7,2,28,21,18,61
Qwen3-8B,35,25,29,37,35,30,17,13,0,8,7,11
Qwen3-8B_thinking,36,17,65,31,22,63,8,1,9,15,14,41
