Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,2314.2258,2770.3000,1008.4082,2282.6765,2266.7556,710.2727,1610.2308,2282.7143,424.9412,1316.8000,1038.2308,608.7714
Deepseek-R1,6134.1500,8862.8750,4955.9737,6414.5714,10683.3333,4627.5349,2204.5000,0.0000,1095.3125,2953.0000,4429.2727,1343.4643
DeepSeek-V3,1978.0938,3200.0556,906.7857,2059.6081,3861.0233,875.4468,1435.0667,2837.5882,281.7500,1793.9600,1568.7895,806.8429
gemini-2.0-flash-thinking-exp-01-21,6986.4754,25501.6571,2443.0345,8137.3333,28056.1944,2071.1077,5701.4545,31874.4000,1486.5135,4379.8125,5331.5385,1878.2857
gpt-4.1,1456.9667,2066.4737,486.1406,1429.2250,2667.6786,364.9677,1009.5769,2607.6154,251.2727,517.0000,690.5556,374.2500
gpt-4o,615.4286,716.2500,293.4167,648.8400,618.0769,271.7917,437.6667,678.0000,223.6667,312.0000,362.6667,259.0000
llama-4-maverick,872.2727,1160.8750,420.0000,917.1786,1043.4375,429.2500,856.6875,1115.7000,252.5870,611.6667,472.6250,310.4043
o3-mini-medium,3472.9545,3756.4286,2788.0000,4473.9677,8340.1538,2369.6000,3252.6667,4876.5000,616.6667,1245.0000,944.2000,819.0000
o4-mini-medium,4559.5000,5020.6000,1207.7500,2658.6667,3796.5000,1263.8571,568.0000,6683.0000,344.3333,807.0000,1314.7500,439.0000
qwen3-235b-a22b,1182.3333,2588.6000,638.1463,1412.0976,2245.4167,479.5000,916.5000,2201.6250,269.2941,922.2000,1005.8889,496.5652
Qwen3-235B-A22B_thinking,6612.5116,12287.8000,6089.2593,6138.0278,15152.0417,6096.0833,4613.5000,12462.7500,2206.3023,2427.8214,3863.0000,1303.9344
qwen3-30b-a3b,1721.4167,2803.7143,644.8000,1490.7059,2928.8125,395.6182,871.4167,1953.2000,324.0000,1017.9091,996.0000,423.0000
Qwen3-30B-A3B_thinking,6840.0833,15087.0000,5134.3043,6646.7714,14429.2778,5063.4247,5265.7143,16468.5000,1756.3214,2305.7143,4201.8889,1163.1148
Qwen3-8B,2172.7714,4878.0800,758.6207,2023.9730,4178.2571,517.6333,1136.8824,4258.6923,0.0000,1454.0000,1085.2857,532.2727
Qwen3-8B_thinking,7506.6944,16352.4706,6585.8615,9001.5806,14758.3182,5629.8413,4661.2500,13722.0000,2739.3333,2781.0000,5148.0714,1403.5610
