Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,1599.4054,2155.3438,488.3402,1442.2021,1247.9043,343.0500,1677.7407,2197.1875,493.4512,1265.4062,1013.1154,631.2727
Deepseek-R1,3628.7059,7695.1034,1185.3776,2883.7128,5656.0854,976.2000,2260.6471,11190.3333,958.2429,2765.1385,3913.0976,1010.4304
DeepSeek-V3,1855.0108,2749.0968,614.7320,1718.7128,2737.4634,499.0918,1073.4615,2415.8947,401.1905,1357.3846,1415.8438,721.1263
gemini-2.0-flash-thinking-exp-01-21,5738.8587,26031.9655,1909.5657,3900.1522,26564.9398,1513.6566,6879.9324,28206.4600,1888.1471,5392.7000,8828.3077,1982.7079
gpt-4.1,769.1163,1336.3023,440.3608,546.1720,823.2333,323.8485,1198.5918,2603.0000,450.1579,934.5098,1190.9333,571.7742
gpt-4o,467.6667,521.5882,288.2444,331.0000,379.2805,261.4583,605.6000,648.5556,255.8226,556.5217,454.7222,312.2394
llama-4-maverick,882.9000,1105.5882,494.8511,951.8169,972.9595,523.5579,812.4138,1087.9231,375.2821,824.5294,679.3000,444.4545
o3-mini-medium,2347.2841,4892.9577,1200.7527,1901.8404,3557.5506,1162.0825,2755.8472,5269.2609,848.3913,1914.7059,1788.0000,962.8553
o4-mini-medium,1263.1444,1933.7093,730.5773,921.0217,1246.9896,600.7959,1707.6364,4010.2308,532.1765,1736.0000,1926.4746,780.0602
qwen3-235b-a22b,1289.0722,2011.2000,554.1158,1178.9670,1277.2289,507.4184,1192.8305,1822.9688,441.2154,1212.4222,1260.1212,628.4026
Qwen3-235B-A22B_thinking,4735.0778,11863.7391,2573.3878,4314.6889,13085.9531,2053.5253,3424.0962,10655.0000,1458.3253,2631.6765,4421.9298,1089.3793
qwen3-30b-a3b,1461.7340,2158.9355,618.5824,1494.1910,1491.8354,589.2292,1298.5800,1788.8519,511.2143,1145.0833,1188.4348,619.1875
Qwen3-30B-A3B_thinking,6109.8182,11851.5500,2749.9787,5886.5422,14027.3390,2107.3750,3131.4375,13313.7857,1078.3438,2343.8750,3460.1795,1116.3125
Qwen3-8B,1786.7857,3265.5455,661.5824,1799.1053,2767.8472,651.1915,1883.4500,3555.3243,575.3226,1602.8286,1923.9286,715.2105
Qwen3-8B_thinking,6289.9718,16109.4167,3903.7634,6145.2941,13933.7083,3129.0510,3714.2308,14888.7500,1846.0429,2598.8000,4929.5556,1396.8219
