Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,1694.0000,2568.5000,390.7959,1983.7647,2736.4444,383.8571,1266.4615,2245.3571,409.1176,969.4667,824.1538,459.0286
Deepseek-R1,3160.9000,11169.1250,1212.8684,4071.5714,12630.2222,1269.7442,1321.0000,0.0000,566.9375,1377.8333,3955.8182,656.2143
DeepSeek-V3,1513.7344,3174.5556,319.1071,1684.5811,3289.7209,329.6596,894.8000,1627.0588,189.4500,998.8800,1010.3158,492.5143
gemini-2.0-flash-thinking-exp-01-21,5616.8197,24756.1429,1486.1552,6781.6667,28352.8611,1181.9385,6771.6667,27793.5500,1006.4865,3569.5000,4512.0000,1002.9643
gpt-4.1,1151.6000,2414.0526,207.5000,1352.5750,2959.6071,196.6290,920.7308,2334.1538,264.2727,505.0000,614.0000,215.4167
gpt-4o,549.7143,740.2500,198.6250,720.6800,732.7692,183.0000,498.6667,693.0000,199.8333,368.0000,256.6667,163.3571
llama-4-maverick,756.0000,1183.7500,233.1296,777.5000,1147.6875,220.7273,714.6250,924.6000,230.7391,467.5833,404.3750,181.0000
o3-mini-medium,1885.7273,5337.5714,446.7500,2657.2903,8737.0000,305.3750,1460.8333,3694.2500,295.0000,781.0000,1233.4000,355.5000
o4-mini-medium,1159.5000,4358.6000,242.6250,1682.0000,6496.5000,256.6429,607.5000,1402.0000,366.3333,993.0000,1336.2500,422.0000
qwen3-235b-a22b,807.4545,2129.7600,261.6341,1045.1707,1969.8333,237.1136,841.8571,1596.8750,263.6471,839.6000,978.3333,333.4348
Qwen3-235B-A22B_thinking,3873.6279,12351.9333,2165.9506,3714.5833,16185.4583,1950.3889,2301.5000,10720.0000,946.1395,1652.0714,2282.6923,831.5246
qwen3-30b-a3b,1190.6667,2735.5714,259.1333,1059.8235,2782.7500,203.6909,821.6667,1272.9000,408.5000,734.1818,705.1667,297.8636
Qwen3-30B-A3B_thinking,4519.7778,16590.5238,1747.1304,4767.7429,18630.2778,1706.1370,3083.2857,16906.5000,935.7857,1520.6667,2304.7222,851.5410
Qwen3-8B,1526.4000,4228.4400,272.4483,1596.6486,4094.1143,266.6000,1431.6471,4088.3846,0.0000,1201.7500,741.0000,298.6364
Qwen3-8B_thinking,4421.6944,21025.5294,1957.4769,5485.4516,20082.9091,2050.0000,3157.1250,6285.0000,1847.6667,1895.8000,3604.0000,740.8049
