Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,1892.9189,2784.2031,393.8969,2287.5957,2747.6383,379.2500,1459.4444,2212.0938,404.3415,873.2188,890.9615,461.2386
Deepseek-R1,3880.6824,11523.9828,1353.7653,3826.6277,12699.1829,1168.1200,2382.6471,7169.5000,722.2286,1504.7231,3392.3415,644.8101
DeepSeek-V3,1509.0645,3125.5323,291.9381,1623.2553,3492.0366,304.7449,888.6667,1473.7895,194.9206,904.4231,957.3438,438.2526
gemini-2.0-flash-thinking-exp-01-21,6396.3478,27644.1379,1435.3737,6886.3696,29734.8313,1155.1111,7485.9189,24945.4600,976.5147,2928.4600,5104.5385,914.5393
gpt-4.1,1099.8488,2510.6163,206.7320,1285.9247,2718.0556,201.3939,912.3673,1939.9286,269.7368,502.4902,676.3667,199.7957
gpt-4o,593.4267,712.0980,202.7556,652.2955,678.0488,196.8750,600.8667,618.7778,212.4516,377.5217,388.1111,154.6479
llama-4-maverick,637.7400,1200.5000,220.8936,727.8732,1170.3243,218.2526,639.8621,953.6154,231.5513,444.1176,386.7000,181.7922
o3-mini-medium,2128.6477,6874.0986,381.7097,2512.9681,7431.1461,331.8247,1623.4722,3920.1957,340.7717,649.4706,1081.6154,265.6447
o4-mini-medium,1704.6778,4844.8721,321.0309,1724.6848,5438.2292,279.5816,1161.0000,3359.1282,342.9608,777.6071,1226.5932,370.4458
qwen3-235b-a22b,998.4639,2179.6923,241.3474,1073.7363,1980.4819,239.0612,899.1695,1504.4062,269.8308,773.4222,847.2727,260.8312
Qwen3-235B-A22B_thinking,4846.1444,13748.9348,2196.8469,4635.0444,15349.0469,2002.5455,2825.3846,10012.4286,1036.1325,1811.4412,4430.1754,922.9310
qwen3-30b-a3b,1087.4468,2953.1935,238.2967,1044.7191,2796.0633,217.3854,995.0800,1503.8519,260.6667,713.8333,865.2174,299.1562
Qwen3-30B-A3B_thinking,5230.0390,16086.9750,1756.0745,5339.1928,19047.5085,1628.5104,3020.2812,9891.4286,1004.4688,1623.9375,3134.0256,871.4000
Qwen3-8B,1399.5952,4403.2909,254.6484,1464.3789,3947.5972,247.3191,1424.2000,3116.8919,286.9677,873.1714,1055.2143,298.7193
Qwen3-8B_thinking,5137.0704,18699.1667,2162.9355,5659.2647,19622.3125,2111.5816,3231.5897,11556.0000,1225.8143,1608.5200,4335.2778,795.9863
