Model,active_recognition_rate,passive_recognition_rate,active_recognition_rate_no_fsc,normal_correctness_rate,active_criticism_efficiency_overall,passive_criticism_efficiency_overall,active_criticism_efficiency_on_success,passive_criticism_efficiency_on_success,normal_answer_avg_len_overall,ill_answer_avg_len_overall,ill_with_hint_answer_avg_len_overall,normal_answer_avg_len_active_success,ill_answer_avg_len_active_success,normal_answer_avg_len_passive_success,ill_with_hint_answer_avg_len_passive_success,active_recognition_count,passive_recognition_count,active_recognition_count_no_fsc,active_recognition_applicable_count_no_fsc,normal_correctness_count,normal_correctness_applicable_count,active_success_count,passive_success_count,valid_for_metrics,invalid_format_count,total_evaluated
claude-3-7-sonnet-20250219-thinking,0.3625,0.6975,0.3822,0.9311,1.1153,0.8889,1.2052,0.8008,1405.6325,1567.7217,1249.4500,1057.7218,1274.7609,1364.5878,1092.7109,435,837,344,900,838,900,435,837,1200,0,1200
Deepseek-R1,0.1958,0.6767,0.2411,0.9867,1.2479,0.8888,1.7863,0.7504,4299.7867,5365.8733,3821.8325,2300.8894,4110.1915,3831.5049,2874.9840,235,812,217,900,888,900,235,812,1200,0,1200
DeepSeek-V3,0.4050,0.6883,0.4822,0.0000,1.1901,1.1192,1.3541,1.1068,1291.0017,1536.4133,1444.8392,1304.8539,1766.8642,1241.5024,1374.0569,486,826,434,900,0,0,486,826,1200,0,1200
gemini-2.0-flash-thinking-exp-01-21,0.3825,0.7792,0.4100,0.0000,1.0598,1.0170,1.1074,0.9927,9887.1700,10477.9383,10055.5758,8147.7102,9022.9150,9318.0599,9249.5818,459,935,369,900,0,0,459,935,1200,0,1200
gpt-4.1,0.2817,0.7317,0.2956,0.0000,1.0196,0.8518,1.1072,0.7601,1081.8333,1103.0883,921.4708,931.9024,1031.8254,1023.6105,778.0376,338,878,266,900,0,0,338,878,1200,0,1200
gpt-4o,0.1100,0.5742,0.1356,0.0000,1.0275,0.9858,1.0644,0.8686,452.9933,465.4283,446.5692,410.3939,436.8258,422.2729,366.7925,132,689,122,900,0,0,132,689,1200,0,1200
llama-4-maverick,0.2725,0.5350,0.2833,0.0000,1.1104,1.2624,1.2299,1.3446,593.0408,658.5250,748.6308,475.6758,585.0398,509.2118,684.6963,327,642,255,900,0,0,327,642,1200,0,1200
o3-mini-medium,0.1442,0.7317,0.1700,0.0000,1.3225,1.0300,1.7293,0.9695,2270.8908,3003.1933,2339.1050,2017.7168,3489.2890,2323.0319,2252.1321,173,878,153,900,0,0,173,878,1200,0,1200
o4-mini-medium,0.0400,0.7425,0.0467,0.9878,1.1911,0.8074,1.4068,0.6937,1829.1942,2178.8308,1476.9567,1482.3750,2085.3542,1858.1403,1288.9675,48,891,42,900,889,900,48,891,1200,0,1200
qwen3-235b-a22b,0.2467,0.7000,0.2856,0.0000,1.0973,1.1561,1.3225,1.1667,952.1908,1044.8550,1100.8042,893.6858,1181.8649,891.1381,1039.7060,296,840,257,900,0,0,296,840,1200,0,1200
Qwen3-235B-A22B_thinking,0.3533,0.7008,0.4144,0.9878,1.2331,1.0348,1.6649,0.9758,5507.6733,6791.2850,5699.1092,3323.8608,5533.8090,4328.9405,4224.3306,424,841,373,900,889,900,424,841,1200,0,1200
qwen3-30b-a3b,0.2483,0.6175,0.2911,0.0000,1.1069,1.1198,1.2770,1.0812,1068.3733,1182.5783,1196.3883,1007.9966,1287.2584,1078.5762,1166.1201,298,741,262,900,0,0,298,741,1200,0,1200
Qwen3-30B-A3B_thinking,0.3242,0.6050,0.3911,0.9878,1.1867,1.0106,1.4285,0.9743,6199.3200,7356.4883,6265.3050,3767.0694,5381.2571,4826.2521,4702.3292,389,726,352,900,889,900,389,726,1200,0,1200
Qwen3-8B,0.2058,0.5992,0.2411,0.0000,1.0655,1.1428,1.1764,1.1001,1542.6367,1643.6375,1762.8667,1914.8866,2252.7449,1512.9819,1664.4882,247,719,217,900,0,0,247,719,1200,0,1200
Qwen3-8B_thinking,0.2683,0.5717,0.3378,0.0000,1.1758,1.0758,1.4146,1.0603,6773.5308,7964.6525,7287.1567,4789.7857,6775.5466,4847.4592,5139.8353,322,686,304,900,0,0,322,686,1200,0,1200
