Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,0.8449,0.7741,1.2398,0.6304,0.4542,0.9045,1.1496,0.9933,1.2204,1.4491,1.1371,1.3686
Deepseek-R1,0.9351,0.6677,0.8756,0.7536,0.4454,0.8357,0.9488,1.5608,1.3268,1.8376,1.1535,1.5670
DeepSeek-V3,1.2292,0.8796,2.1057,1.0588,0.7839,1.6377,1.2079,1.6392,2.0582,1.5008,1.4789,1.6455
gemini-2.0-flash-thinking-exp-01-21,0.8972,0.9417,1.3304,0.5664,0.8934,1.3104,0.9190,1.1307,1.9336,1.8415,1.7295,2.1680
gpt-4.1,0.6993,0.5323,2.1301,0.4247,0.3029,1.6080,1.3137,1.3418,1.6689,1.8598,1.7608,2.8618
gpt-4o,0.7881,0.7325,1.4216,0.5074,0.5594,1.3280,1.0079,1.0481,1.2041,1.4741,1.1716,2.0190
llama-4-maverick,1.3844,0.9209,2.2402,1.3077,0.8314,2.3989,1.2697,1.1408,1.6207,1.8566,1.7567,2.4448
o3-mini-medium,1.1027,0.7118,3.1457,0.7568,0.4787,3.5021,1.6975,1.3441,2.4896,2.9481,1.6531,3.6246
o4-mini-medium,0.7410,0.3991,2.2757,0.5340,0.2293,2.1489,1.4708,1.1938,1.5517,2.2325,1.5706,2.1057
qwen3-235b-a22b,1.2911,0.9227,2.2959,1.0980,0.6449,2.1225,1.3266,1.2118,1.6352,1.5676,1.4873,2.4092
Qwen3-235B-A22B_thinking,0.9771,0.8629,1.1714,0.9309,0.8526,1.0255,1.2119,1.0642,1.4075,1.4528,0.9981,1.1803
qwen3-30b-a3b,1.3442,0.7311,2.5958,1.4302,0.5335,2.7105,1.3050,1.1895,1.9612,1.6041,1.3736,2.0698
Qwen3-30B-A3B_thinking,1.1682,0.7367,1.5660,1.1025,0.7364,1.2941,1.0368,1.3460,1.0735,1.4433,1.1041,1.2811
Qwen3-8B,1.2766,0.7416,2.5980,1.2286,0.7011,2.6330,1.3225,1.1407,2.0048,1.8356,1.8233,2.3943
Qwen3-8B_thinking,1.2244,0.8615,1.8048,1.0859,0.7101,1.4819,1.1494,1.2884,1.5060,1.6156,1.1371,1.7548
