Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,0.8336,0.6634,1.1856
Deepseek-R1,0.9628,0.6014,1.0277
DeepSeek-V3,1.1919,0.9023,1.8049
gemini-2.0-flash-thinking-exp-01-21,0.8664,0.9927,1.5924
gpt-4.1,0.7850,0.5562,2.0508
gpt-4o,0.7198,0.7048,1.4531
llama-4-maverick,1.3613,0.9084,2.1718
o3-mini-medium,1.1535,0.7018,3.1505
o4-mini-medium,0.9116,0.4869,2.0756
qwen3-235b-a22b,1.2650,0.8809,2.1367
Qwen3-235B-A22B_thinking,1.0428,0.8826,1.1578
qwen3-30b-a3b,1.3843,0.7047,2.3945
Qwen3-30B-A3B_thinking,1.1483,0.8003,1.3595
Qwen3-8B,1.3144,0.8406,2.4884
Qwen3-8B_thinking,1.1917,0.8176,1.6320
