Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,0.8928,0.8321,1.2727,0.6531,0.4925,0.9045,1.1302,1.0827,1.1956,1.3235,1.0233,1.3607
Deepseek-R1,0.9539,0.7859,0.8836,0.7524,0.5396,0.8357,1.1292,1.2776,1.3646,1.5634,1.1199,1.5211
DeepSeek-V3,1.2359,0.8854,2.0686,1.0795,0.8223,1.6417,1.2118,1.4812,1.9024,1.3156,1.0848,1.6837
gemini-2.0-flash-thinking-exp-01-21,0.9068,0.9475,1.3376,0.5962,0.9185,1.3144,0.9538,1.0858,1.9251,1.6617,1.6236,2.0192
gpt-4.1,0.6543,0.5508,2.1366,0.4249,0.3172,1.6152,1.2637,1.1960,1.6562,1.6575,1.5100,2.8593
gpt-4o,0.8517,0.8322,1.4225,0.5747,0.6282,1.3253,1.1529,1.0593,1.1477,1.4444,1.1338,1.9271
llama-4-maverick,1.3058,0.9452,2.2114,1.2891,0.8541,2.4163,1.2625,1.2201,1.5160,1.4478,1.3571,2.3271
o3-mini-medium,1.0984,0.7281,3.1286,0.7958,0.4916,3.5198,1.5168,1.4959,2.4903,2.1570,1.7065,3.4006
o4-mini-medium,0.7736,0.4483,2.2199,0.5560,0.2466,2.1669,1.3059,1.1607,1.5264,2.0071,1.6313,2.1437
qwen3-235b-a22b,1.2841,0.9282,2.2205,1.1075,0.6973,2.1139,1.2315,1.2161,1.5606,1.4166,1.2321,2.3133
Qwen3-235B-A22B_thinking,0.9657,0.9370,1.1453,0.9292,0.8893,1.0301,1.3866,1.2283,1.4245,1.3584,1.0271,1.2137
qwen3-30b-a3b,1.3488,0.8262,2.5410,1.3869,0.6780,2.6894,1.2290,1.3142,1.6347,1.2093,1.1256,1.8621
Qwen3-30B-A3B_thinking,1.1192,0.8585,1.5247,1.1159,0.8430,1.3400,1.1414,1.1832,1.1225,1.2582,1.0158,1.2537
Qwen3-8B,1.1517,0.8548,2.5389,1.2326,0.8199,2.5851,1.2793,1.2796,1.8709,1.5128,1.3962,2.1930
Qwen3-8B_thinking,1.0726,0.9131,1.7362,1.0805,0.8363,1.4768,1.2949,1.3178,1.5319,1.5091,1.1799,1.6519
