Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,0.9272,0.7982,1.1935
Deepseek-R1,1.0100,0.8275,1.0604
DeepSeek-V3,1.1952,0.9874,1.8015
gemini-2.0-flash-thinking-exp-01-21,0.9180,1.0141,1.5998
gpt-4.1,0.8758,0.7109,2.0310
gpt-4o,0.9432,0.8847,1.4237
llama-4-maverick,1.3127,1.0356,2.0934
o3-mini-medium,1.2044,0.8140,3.1174
o4-mini-medium,1.0203,0.6231,2.0039
qwen3-235b-a22b,1.2482,0.9640,2.0449
Qwen3-235B-A22B_thinking,1.1029,0.9951,1.1613
qwen3-30b-a3b,1.3018,0.8996,2.1506
Qwen3-30B-A3B_thinking,1.1370,0.9342,1.3508
Qwen3-8B,1.2670,0.9916,2.2977
Qwen3-8B_thinking,1.1644,0.9871,1.6005
