Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,0.7833,0.9600,0.5600,0.4867
Deepseek-R1,0.8033,0.9200,0.3667,0.6167
DeepSeek-V3,0.8400,0.9133,0.4033,0.5967
gemini-2.0-flash-thinking-exp-01-21,0.9267,0.9133,0.6400,0.6367
gpt-4.1,0.8967,0.9400,0.5100,0.5800
gpt-4o,0.7200,0.8867,0.3167,0.3733
llama-4-maverick,0.5933,0.8000,0.4000,0.3467
o3-mini-medium,0.8400,0.9333,0.7000,0.4533
o4-mini-medium,0.9100,0.9533,0.4467,0.6600
qwen3-235b-a22b,0.8567,0.9067,0.5200,0.5167
Qwen3-235B-A22B_thinking,0.7800,0.8433,0.4733,0.7067
qwen3-30b-a3b,0.8233,0.8800,0.3967,0.3700
Qwen3-30B-A3B_thinking,0.7033,0.7933,0.3667,0.5567
Qwen3-8B,0.7667,0.8700,0.3600,0.4000
Qwen3-8B_thinking,0.6667,0.7133,0.3767,0.5300
