Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,0.6350,0.5400,0.9175
Deepseek-R1,0.6950,0.4675,0.8675
DeepSeek-V3,0.6950,0.4875,0.8825
gemini-2.0-flash-thinking-exp-01-21,0.7700,0.6800,0.8875
gpt-4.1,0.6975,0.5850,0.9125
gpt-4o,0.5025,0.4225,0.7975
llama-4-maverick,0.4175,0.3275,0.8600
o3-mini-medium,0.7200,0.5800,0.8950
o4-mini-medium,0.7050,0.7000,0.8225
qwen3-235b-a22b,0.7300,0.5325,0.8375
Qwen3-235B-A22B_thinking,0.7500,0.4350,0.9175
qwen3-30b-a3b,0.6425,0.4775,0.7325
Qwen3-30B-A3B_thinking,0.6000,0.3800,0.8350
Qwen3-8B,0.6350,0.4800,0.6825
Qwen3-8B_thinking,0.5700,0.3100,0.8350
