Model,contra_infer_insert - medium,contra_infer_insert - hard,contra_infer_insert - normal,contra_premise_insert - medium,contra_premise_insert - hard,contra_premise_insert - normal,flawed_solution_completion - medium,flawed_solution_completion - hard,flawed_solution_completion - normal,irr_query_distraction - medium,irr_query_distraction - hard,irr_query_distraction - normal
claude-3-7-sonnet-20250219-thinking,74,64,97,94,94,100,54,32,82,32,26,88
Deepseek-R1,85,58,98,94,82,100,34,6,70,65,41,79
DeepSeek-V3,93,62,97,94,82,98,39,19,63,52,32,95
gemini-2.0-flash-thinking-exp-01-21,92,87,99,92,83,99,74,50,68,50,52,89
gpt-4.1,86,86,97,93,90,99,49,28,76,51,30,93
gpt-4o,75,51,90,88,82,96,15,18,62,23,18,71
llama-4-maverick,50,34,94,71,74,95,29,13,78,17,10,77
o3-mini-medium,88,71,93,94,89,97,72,46,92,34,26,76
o4-mini-medium,90,86,97,92,96,98,44,39,51,56,59,83
qwen3-235b-a22b,97,65,95,91,83,98,59,32,65,45,33,77
Qwen3-235B-A22B_thinking,90,46,98,90,64,99,52,7,83,68,57,87
qwen3-30b-a3b,94,62,91,89,79,96,50,27,42,24,23,64
Qwen3-30B-A3B_thinking,77,40,94,83,59,96,32,14,64,48,39,80
Qwen3-8B,84,55,91,95,72,94,40,37,31,35,28,57
Qwen3-8B_thinking,71,36,93,68,48,98,39,4,70,50,36,73
